id,name,html_http,html_https,html_external-js,html_iframes,html_XMLHttpRequests,html_scriptTags,html_POST,html_GET,html_objectTags,html_bodyTags,html_imgTags,html_fromCharCode,html_formTags,html_document.write,html_document.writeIn,html_innerHTML,html_createElement('script'),html_tabs.executeScript(),html_appendChild(),html_%u,html_\x,html_\,html_%,html_!,html_href=javascript,html_ClickJack,html_VBScript,html_CoinHive,js_http,js_https,js_iframes,js_XMLHttpRequests,js_external-js,js_POST,js_GET,js_document.write,js_document.writeIn,js_innerHTML,js_fromCharCode,js_createElement('script'),js_keywords,js_tabs.executeScript(),js_appendChild,js_%u,js_\x,js_\,js_!,js_ClickJack,js_CoinHive,css_background-image,css_behavior,css_@import,permission_<all_urls>,permission_http://*/*,permission_https://*/*,permission_*://*/*,permission_webRequest,permission_webRequestBlocking,permission_tabs,permission_storage,permission_history,permission_cookies,permission_notifications,permission_background,permission_unlimitedStorage,permission_contextMenus,permission_management,permission_activeTab,permission_sessions,permission_identity,permission_webNavigation,permission_downloads,permission_debugger,permission_alarms,permission_scripting,permission_search,permission_fileSystem,permission_fileSystem.write,permission_desktopCapture,isMalicious
424,extension_16_4_0_0,0.042,0.015576324,0,0,0,0.081285444,0,0,0,0.125,0,0,0.026666667,0,0,0,0,0,0,0,0,0,0.000243053,0.002859477,0,0,0,0,0.054005935,0.095065458,0,0.035,0.036885246,0.004310345,0.138166895,0,0,0.040564374,0.085946574,0.034843206,0.050080949,0.028571429,0.373141724,0.003496503,0.002240024,0.031310198,0.168259454,0,0,0.073064866,0.015625,0.041666667,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
425,extension_7_3_18_0,0,0.003115265,0,0.1,0,0.005671078,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000816993,0,0,0,0,0.005341246,0.01530715,0,0.0275,0.016393443,0.011853448,0.016415869,0,0,0.012345679,0.011614402,0.00174216,0.010240662,0.114285714,0.008919722,0.003496503,0,0.001856479,0.029964773,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,extension_0_7_0_0,0,0,0,0.1,0,0.003780718,0,0,0,0.041666667,0.003262643,0,0,0,0,0,0,0,0,0,0,0,0.000567123,0.000680828,0,0,0,0,0.00098912,0.005035247,0,0,0,0,0,0,0,0.017636684,0.003484321,0.008710801,0.000714385,0,0.008919722,0,0,0.000180088,0.001577971,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,NyoogleCustomIcon-Vir-Extension,0.002,0.003115265,0,0,0,0.009451796,0,0,0,0.041666667,0.001631321,0,0,0,0,0,0,0,0,0,0,0,0,0.000272331,0,0,0,0,0.000593472,0,0,0.005,0,0.001077586,0.005471956,0,0,0.026455026,0.00232288,0.00174216,0.000931282,0,0.008424182,0,0.000468842,0.000291753,0.003700452,0,0,0.000241138,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
428,Download15-Vir-Extension,0.066,0.00623053,0.02173913,0.1,0,0.098298677,0,0,0,0.041666667,0.057096248,1,0.04,1,0,0,0,0,0,0,0,0,0.002835615,0.023556645,0,0,0,0,0,0.00020141,0,0,0.004098361,0,0,0.945945946,0,0.001763668,0.030197445,0.00174216,0.000444123,0,0.002973241,0,0,5.70E-06,0.000166687,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
429,extension_2_0_189_0,0.002,0.052959502,0,0.2,0,0.013232514,0,0,0,0.104166667,0.014681892,0,0,0,0,0,0,0,0,0,0,0,0.000162035,0.005582789,0,0,0,0,0.055588526,0.071299094,0.12244898,0.2025,0.245901639,0.029094828,0.046511628,0,0,0.261022928,0.045296167,0.022648084,0.028618423,0,0.094152626,0,0.000821921,0.002031815,0.042105146,0.090909091,0,0.010851218,0,0.083333333,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,extension_1_0_16_0,0,0.003115265,0,0,0,0.02268431,0,0,0.029411765,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0.002106457,0.000408497,0,0,0,0,0.033036597,0.001208459,0.020408163,0.005,0.012295082,0.001077586,0.004103967,0.040540541,0,0.035273369,0.029036005,0.003484321,0.007901267,0,0.010901883,0.013986014,0.000515148,0.000275122,0.0114514,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
431,extension_2_0_6_0,0,0.009345794,0,0,0,0.011342155,0,0,0,0.041666667,0,0,0.013333333,0,0,0,0,0,0,0,0,0,8.10E-05,0.000272331,0,0,0,0,0.000395648,0.00040282,0.020408163,0.005,0,0.001077586,0.005471956,0,0,0.021164021,0.004645761,0.00174216,0.001671488,0,0.016352825,0,3.47E-05,0.000116891,0.004622787,0,0,0.032071377,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,extension_3_16_0_0,0,0,0,0,0,0.001890359,0,0,0,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0.00032407,0.000136166,0,0,0,0,0.027101879,0.042094663,0,0.39,0.057377049,0.072198276,0.067031464,0,0,0.114638448,0.026713124,0.06271777,0.045155998,0,0.064420218,0,2.32E-05,0.001993802,0.124387425,0,0,0.001929105,0,0.125,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
433,extension_7_3_4_0,0,0,0,0,0,0.003780718,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000272331,0,0,0,0,0.004747774,0.003625378,0,0.0075,0.004098361,0.02262931,0.01504788,0,0,0.037037037,0.016260163,0.005226481,0.008964237,0.028571429,0.016352825,0,0.00038202,0.001318114,0.0205414,0,0,0.000723415,0.015625,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
